"name","email","phone","website","address","city","country","postcode","category"
"Aesop Silverlake","silverlake@aesop.com","","","","","","","imported"
"Aesop Pasadena","pasadena@aesop.com","","","","","","","imported"
"Amity Hair","info@amityhair.com","","","","","","","imported"
"AcuSpa Pasadena","acuspa@acuspapasadena.com","","","","","","","imported"
"Compton Cycles","info@comptoncycles.co.uk","+44 20 8690 0141","https://www.comptoncycles.co.uk/","23-25 Catford Hill","London","UK","SE6 4NU","bicycle"
"Alisha Pharmacy","alisha.fxy41@nhs.net","+44 20 8994 5177","https://www.alishapharmacy.co.uk","257 Acton Lane","London","UK","W4 5DG","pharmacy"
"Orchid Studio","info@sensensuals.co.uk","+44 20 8658 1713","https://theorchidstudio.mytreatwell.co.uk/","127 Croydon Road","Beckenham","UK","BR3 3RA","cosmetics"
"Henry Pordes Books","info@henrypordesbooks.com","+44 20 7836 9031","http://www.henrypordesbooks.com/","58,60 Charing Cross Road","London","UK","WC2H 0BB","books"
"Oxfam Bookshop","oxfamshopf4628@oxfam.org.uk","+44 20 8347 7942","https://www.oxfam.org.uk/shops/oxfam-books-music-crouch-end/","22 Park Road","London","UK","N8 8TD","books"
"Adarshi Pharmacy","adarshi@targetgrange.co.uk","+44 20 8670 0973","","485-487 Norwood Road","London","UK","SE27 9AJ","pharmacy"
"Concrete Hair","info@concretehair.co.uk","+44 20 7836 8631","http://concretehair.co.uk/","35 Drury Lane","London","UK","WC2B 5RH","hairdresser"
"Art Books","info@marcuscampbell.co.uk","+44 20 7261 0111","https://www.marcuscampbell.co.uk","43 Holland Street","London","UK","SE1 9JR","books"
"Collinge & Clark","info@collingeandclark.co.uk","+44 20 7387 7105","http://www.collingeandclark.co.uk/","13 Leigh Street","London","UK","WC1H 9EW","books"
"iCare Pharmacy","icare.pharmacy@nhs.net","+44 20 8997 1100","https://icare-pharmacy.co.uk/","15 Queens Parade","London","UK","W5 3HU","pharmacy"
"Amanda's Flowers","enquiries@amandasflowers.co.uk","+44 20 8948 4060","https://www.amandasflowers.co.uk/","39 George Street","Richmond","UK","TW9 1HY","florist"
"Natural Natural","finchleyroad@natural-natural.co.uk","+44 20 7624 5734","https://natural-natural.shop/pages/ourshops","1 Goldhurst Terrace","London","UK","NW6 3HX","deli"
"The Bike Shop","contact@thebikeshopwatford.com","+44 7941 8000 29","http://www.thebikeshopwatford.com/","66 Queen's Road","Watford","UK","WD17 2LA","bicycle"
"Tecres","sales@tecres.net","+44 372 370 300","","14 North Street","Leatherhead","UK","KT22 7AX","computer"
"Tekmate","info@tekmate.co.uk","+44 1372 801545","https://www.tekmate.co.uk/","89 The Street","Leatherhead","UK","KT22 9RD","computer"
"Loomrose Ltd Pharmacy","loomrose.pharmacy@nhs.net","+44 1923 827577","https://loomrosepharmacy.co.uk/","24 Main Avenue","Northwood","UK","HA6 2HJ","pharmacy"
"Tolly & Sons Ltd","info@tollyandsons.com","+44 1923 821 665","https://www.tollyandsons.com/","4 Main Avenue","Northwood","UK","HA6 2HJ","butcher"
"GAIL's","hsk@gailsbread.co.uk","+44 20 7348 3924","https://gails.com/pages/high-street-kensington","240-242 Kensington High Street","London","UK","W8 6ND","bakery"
"Hutton Road Fisheries","huttonroadfisheries@hotmail.co.uk","+441277 214617","https://www.huttonroadfisheries.co.uk/","170 Hutton Road","Shenfield","UK","CM15 8NL","seafood"
"Menkind","bluewater@menkindstores.co.uk","+44 1322 961123","https://www.menkind.co.uk/","Thames Walk","Greenhithe","UK","DA9 9SH","gift"
"Cycle Fix London","info@cyclefixlondon.co.uk","","https://www.cyclefixlondon.co.uk/","338 Kennington Road","London","UK","SE11 4LD","bicycle"
"Renaissance","info@renaissancelondon.com","+44 20 7251 8844","http://rentest.flyingpig.co.uk/","195 City Road","London","UK","EC1V 1JN","furniture"
"UK Beauty Supplier","info@ukbeautysupplier.com","+447462075958","https://ukbeautysupplier.com/","9 Wellesley Road","Croydon","UK","CR0 1LH","beauty"
"Custom & Co","enquiries@customandco.com","+44 1322 384648","https://customandco.com/","West Village","Greenhithe","UK","DA9 9SE","jewelry"
"Residence x The Lodge","info@thelodgebarbers.com","","https://residencebarbers.com/","West Village","Greenhithe","UK","DA9 9SE","hairdresser"
"Sally Hair & Beauty","bromley.store@sallybeauty.com","+44 20 8290 1352","https://www.sallybeauty.co.uk/storeinfo?StoreID=4038","26 Letchworth Drive","Bromley","UK","BR2 9BE","hairdresser"
"Pandora","uk.bluewater@pandorastores.net","+44 1322 423369","https://uk.pandora.net/en/.net/en-gb/","Rose Gallery","Greenhithe","UK","DA9 9ST","jewelry"
"Browns","bluewater@brownsjewellers.com","+44 1322 897000","https://brownsjewellers.com/en-gb/","Rose Gallery","Greenhithe","UK","DA9 9ST","jewelry"
"Aesop","bluewater@aesop.com","+44 20 4559 8338","https://shop.aesop.com/fr/en/","Guildhall","Greenhithe","UK","DA9 9ST","cosmetics"
"Thomas Sabo","bluewater@thomassabo.com","+44 1322 387586","https://www.thomassabo.com/GB/en_GB/home","Rose Gallery","Greenhithe","UK","DA9 9ST","jewelry"
"Klub Pharmacy","manager@klubpharmacy.co.uk","+44 20 8761 7296","https://www.klubpharmacy.co.uk/","10 Crown Parade","London","UK","SE19 3NG","pharmacy"
"SYS Tech","computers@kenlar.net","+44 20 3539 2421","http://kenlar.net","585 Green Lanes","London","UK","N8 0RG","computer"
"Versatile Tiles","info@versatiletiles.co.uk","+44 20 8397 6363","https://www.versatiletiles.co.uk/","5-7 North Parade","Chessington","UK","KT9 1QL","trade"
"Over the Moon","hello@overthemoon-al.com","+44 1923 270740","","69 High Street","Abbots Langley","UK","WD5 0AE","florist"
"Nima Pharmacy","info@nimapharmacy.co.uk","+442083932106","https://www.nimapharmacy.co.uk/","56 The Broadway Stoneleigh","Epsom","UK","KT17 2HS","pharmacy"
"Kirkdale Bookshop","mail@kirkdalebookshop.com","+44 20 8778 4701","https://www.kirkdalebookshop.com/","272 Kirkdale","London","UK","SE26 4RS","books"
"Grey Flannel","info@greyflannel.co.uk","+44 20 7935 4067","https://www.greyflannel.co.uk/","7 Chiltern Street","London","UK","W1U 7PE","tailor"
"Mouki Mou","contact@moukimou.com","+44 20 7224 4010","https://www.moukimou.com/","29 Chiltern Street","London","UK","W1U 7PL","clothes"
"Oliver Spencer","marylebone@oliverspencer.co.uk","+44 20 3771 8042","https://oliverspencer.co.uk","39 Chiltern Street","London","UK","W1U 7PP","clothes"
"Dora Beauty Clinic","info@dorabeauty.co.uk","+44 20 8363 3734","","159 Bramley Road","London","UK","N14 4XA","beauty"
"Deco Floors","sales@decofloors.co.uk","+44 20 8364 4637","","169 Bramley Road","London","UK","N14 4XA","carpet"
"Marina Bridal","info@marinalbridal.co.uk","+44 20 8362 8666","","173 Bramley Road","London","UK","N14 4XA","clothes"
"T&T Salon","info@tntsalon.co.uk","+44 1923 681575","http://www.tntsalon.co.uk/","2 Katherine Place","Abbots Langley","UK","WD5 0BT","hairdresser"
"The Flower Cellar","enquiries@theflower-cellar.co.uk","+44 1923 680880","http://theflower-cellar.co.uk/","5 Katherine Place","Abbots Langley","UK","WD5 0BT","florist"
"Goggle Box Eyecare","info@gogglebox.ltd.uk","+44 7928 246082","https://gogglebox.ltd.uk/","76 Eltham High Street","London","UK","SE9 1BT","optician"
"Doorstep Pharmacy - Travel Health Clinic","info@doorsteppharmacy.com","+44 20 8869 1200","https://www.doorsteppharmacy.com/","106 High Street","Harrow","UK","HA1 3LP","pharmacy"
"South London Cycles","southlondoncycles@aol.com","+44 20 8852 6680","https://pedal-it.co.uk/","290 Lee High Road","London","UK","SE13 5PJ","bicycle"
"Cheek Wellbeing Ltd","info@cheekwellbeing.com","+44 1923 269535","http://www.cheekwellbeing.com/","42 High Street","Kings Langley","UK","WD4 9HT","beauty"
"Sweet as a Button","info@sweetasabutton.com","+44 1923 271032","http://www.sweetasabutton.com/","38b High Street","Kings Langley","UK","WD4 9HT","confectionery"
"Ideal Gifts and Parties.com","info@idealgiftsandparties.com","+44 20 8423 6383","https://idealgiftsandparties.com/","314 Northolt Road","Harrow","UK","HA2 8EE","gift"
"Parker & Hammond Opticians","harrow@parkerandhammond.co.uk","+44 20 8422 1269","https://www.parkerandhammond.co.uk/","302 Northolt Road","Harrow","UK","HA2 8EE","optician"
"Charlie's Sweet Emporium","barkingside@charliessweets.co.uk","+44 20 8550 7988","www.charliessweets.co.uk","58 High Street","Ilford","UK","IG6 2DQ","confectionery"
